,movie_title,year,place,star_cast,rating,vote,link
149, Kill Bill: Volumen 1,2003,150,"Quentin Tarantino (dir.), Uma Thurman, David Carradine",8.144644263188695,,/title/tt0266697/
150, Buscando a Nemo,2003,151,"Andrew Stanton (dir.), Albert Brooks, Ellen DeGeneres",8.14170564868906,,/title/tt0266543/
151, No es país para viejos,2007,152,"Ethan Coen (dir.), Tommy Lee Jones, Javier Bardem",8.141334882638207,,/title/tt0477348/
152, Toro salvaje,1980,153,"Martin Scorsese (dir.), Robert De Niro, Cathy Moriarty",8.140243499791419,,/title/tt0081398/
153, El hombre elefante,1980,154,"David Lynch (dir.), Anthony Hopkins, John Hurt",8.138657810309482,,/title/tt0080678/
154, V de Vendetta,2005,155,"James McTeigue (dir.), Hugo Weaving, Natalie Portman",8.138566445231843,,/title/tt0434409/
155, Lo que el viento se llevó,1939,156,"Victor Fleming (dir.), Clark Gable, Vivien Leigh",8.137558678737296,,/title/tt0031381/
156, Chinatown,1974,157,"Roman Polanski (dir.), Jack Nicholson, Faye Dunaway",8.135840044016991,,/title/tt0071315/
157, Del revés (Inside Out),Inside Out,158,"Pete Docter (dir.), Amy Poehler, Bill Hader",8.134834100094757,,/title/tt2096673/
158, Lock & Stock,1998,159,"Guy Ritchie (dir.), Jason Flemyng, Dexter Fletcher",8.132548966509365,,/title/tt0120735/
159, The Thing,1982,160,"John Carpenter (dir.), Kurt Russell, Wilford Brimley",8.130695725715613,,/title/tt0084787/
160, Crimen perfecto,1954,161,"Alfred Hitchcock (dir.), Ray Milland, Grace Kelly",8.124688909353749,,/title/tt0046912/
161, El secreto de sus ojos,2009,162,"Juan José Campanella (dir.), Ricardo Darín, Soledad Villamil",8.124055948565225,,/title/tt1305806/
162, El castillo ambulante,2004,163,"Hayao Miyazaki (dir.), Chieko Baishô, Takuya Kimura",8.123335785092713,,/title/tt0347149/
163, El puente sobre el río Kwai,1957,164,"David Lean (dir.), William Holden, Alec Guinness",8.121500521510272,,/title/tt0050212/
164, Trainspotting,1996,165,"Danny Boyle (dir.), Ewan McGregor, Ewen Bremner",8.119130956858468,,/title/tt0117951/
165, Tres anuncios en las afueras,2017,166,"Martin McDonagh (dir.), Frances McDormand, Woody Harrelson",8.117716411758424,,/title/tt5027774/
166, Warrior,2011,167,"Gavin O'Connor (dir.), Tom Hardy, Nick Nolte",8.117651385994206,,/title/tt1291584/
167, Gran Torino,2008,168,"Clint Eastwood (dir.), Clint Eastwood, Bee Vang",8.115439392285854,,/title/tt1205489/
168, Fargo,1996,169,"Joel Coen (dir.), William H. Macy, Frances McDormand",8.109932415540813,,/title/tt0116282/
169, Mi vecino Totoro,1988,170,"Hayao Miyazaki (dir.), Hitoshi Takagi, Noriko Hidaka",8.105096631861162,,/title/tt0096283/
170, Prisioneros,2013,171,"Denis Villeneuve (dir.), Hugh Jackman, Jake Gyllenhaal",8.099318368176945,,/title/tt1392214/
171, Million Dollar Baby,2004,172,"Clint Eastwood (dir.), Hilary Swank, Clint Eastwood",8.098094315653295,,/title/tt0405159/
172, Blade Runner,1982,173,"Ridley Scott (dir.), Harrison Ford, Rutger Hauer",8.095139266378746,,/title/tt0083658/
173, La quimera del oro,1925,174,"Charles Chaplin (dir.), Charles Chaplin, Mack Swain",8.094642777247852,,/title/tt0015864/
174, Atrápame si puedes,2002,175,"Steven Spielberg (dir.), Leonardo DiCaprio, Tom Hanks",8.094007167770238,,/title/tt0264464/
175, La ley del silencio,1954,176,"Elia Kazan (dir.), Marlon Brando, Karl Malden",8.09360154338949,,/title/tt0047296/
176, Children of Heaven,1997,177,"Majid Majidi (dir.), Mohammad Amir Naji, Amir Farrokh Hashemian",8.090537843001746,,/title/tt0118849/
